#Data tag : 24v2 , Norm tag: composite
#+--------------+-------------------+------+------+----------------+---------------+
#  run:fill       time                nls    ncms   delivered(/fb)   recorded(/fb)  
#+--------------+-------------------+------+------+----------------+---------------+
  395899:10952   08/16/25 06:08:31   101    101    0.043221964      0.038904743    
  395900:10952   08/16/25 06:51:16   373    373    0.135977630      0.122587717    
  395922:10954   08/16/25 16:47:07   156    156    0.076080060      0.064184887    
  395924:10954   08/16/25 17:54:35   2434   2433   1.066793410      0.994159832    
  395926:10954   08/17/25 09:48:13   140    140    0.033820789      0.032664134    
  395939:10955   08/17/25 13:13:02   2021   2021   0.961530869      0.902171945    
  395947:10956   08/18/25 04:27:49   170    170    0.083509622      0.076715491    
  395948:10956   08/18/25 05:37:45   490    490    0.251251092      0.235631248    
  395982:10959   08/18/25 19:26:51   219    219    0.097722868      0.090091778    
  395984:10959   08/18/25 21:27:28   816    816    0.416091852      0.380309147    
  395986:10959   08/19/25 02:50:04   36     36     0.018285808      0.012948226    
  395987:10959   08/19/25 03:06:27   872    872    0.390021098      0.365171747    
  396008:10961   08/19/25 13:21:24   578    578    0.281739018      0.261854817    
  396009:10961   08/19/25 17:09:07   1477   1477   0.702967911      0.659053236    
  396019:10962   08/20/25 06:38:08   6      6      0.002438687      0.001729485    
  396021:10962   08/20/25 06:42:59   135    135    0.066771278      0.062313427    
  396057:10964   08/20/25 22:30:11   132    132    0.062152662      0.052122436    
  396058:10964   08/20/25 23:25:34   97     97     0.048748725      0.041073455    
  396096:10968   08/21/25 11:06:04   557    557    0.278586532      0.257508062    
  396102:10969   08/21/25 19:12:45   733    733    0.360217629      0.334807617    
  396127:10971   08/22/25 08:12:29   2082   2082   0.978864792      0.917938722    
  396134:10972   08/22/25 23:42:17   1610   1610   0.806370089      0.740938654    
  396135:10972   08/23/25 10:12:00   590    590    0.230521760      0.217737371    
  396148:10973   08/23/25 16:10:16   146    146    0.059509261      0.053750179    
  396151:10973   08/23/25 18:10:03   15     15     0.007684436      0.004885659    
  396152:10973   08/23/25 18:17:04   105    105    0.053863096      0.046263022    
  396154:10973   08/23/25 19:47:31   147    147    0.075383601      0.057558127    
  396157:10973   08/23/25 21:05:04   134    134    0.068737769      0.062439348    
  396158:10973   08/23/25 22:01:12   1279   1279   0.577018409      0.537695813    
  396177:10975   08/24/25 11:08:02   186    186    0.081084282      0.073815800    
  396178:10975   08/24/25 12:23:29   24     24     0.012149255      0.005192506    
  396180:10975   08/24/25 12:39:31   1039   1039   0.529577865      0.483377699    
  396185:10975   08/24/25 19:26:34   681    681    0.295949984      0.278186748    
  396191:10976   08/25/25 01:49:22   1751   1751   0.864935924      0.808335349    
  396216:10980   08/26/25 00:22:08   305    305    0.151101332      0.139934028    
  396222:10981   08/26/25 04:22:16   346    346    0.159746277      0.148001397    
  396225:10981   08/26/25 07:17:25   371    371    0.189142806      0.173143054    
  396226:10981   08/26/25 09:44:37   7      7      0.003558045      0.001535274    
  396227:10981   08/26/25 09:50:04   1017   1016   0.478949913      0.442224182    
  396228:10981   08/26/25 16:28:19   173    173    0.059712963      0.057328090    
  396243:10982   08/26/25 19:51:18   832    832    0.420207274      0.390257113    
  396258:10984   08/27/25 06:24:15   802    802    0.404073472      0.373697273    
  396260:10984   08/27/25 11:42:56   967    967    0.460152034      0.429140249    
  396282:10985   08/27/25 22:09:00   111    111    0.054818480      0.047928497    
  396283:10985   08/27/25 22:55:19   2060   2060   0.953292454      0.883721821    
  396309:10986   08/28/25 16:13:47   290    290    0.141121163      0.129258703    
  396319:10988   08/28/25 20:29:01   159    159    0.075805071      0.069262210    
  396320:10988   08/28/25 21:32:12   69     69     0.035098484      0.030001037    
  396335:10988   08/28/25 23:06:59   1141   1141   0.571909841      0.527250442    
  396336:10988   08/29/25 06:33:58   97     97     0.044161591      0.039622392    
  396337:10988   08/29/25 07:17:43   332    332    0.133965248      0.126402039    
  396356:10990   08/29/25 12:08:53   956    956    0.483927586      0.451820344    
  396372:10992   08/29/25 21:53:01   1942   1942   0.932645075      0.868038935    
  396393:10993   08/30/25 13:03:10   228    228    0.115005512      0.102515838    
  396394:10993   08/30/25 14:34:59   3      3      0.001525599      0.000776290    
  396397:10993   08/30/25 15:05:48   362    361    0.184483044      0.165404642    
  396398:10993   08/30/25 17:29:41   1090   1090   0.520518208      0.479147326    
  396399:10993   08/31/25 00:36:48   145    145    0.049239910      0.046475832    
  396404:10994   08/31/25 06:17:26   248    248    0.123364768      0.112108675    
  396405:10994   08/31/25 07:56:39   1373   1373   0.680540811      0.635038878    
  396421:10997   09/01/25 01:21:36   173    173    0.083385861      0.075876978    
  396422:10997   09/01/25 02:31:43   347    347    0.176947791      0.165785064    
  396733:11045   09/07/25 18:04:11   913    913    0.013832489      0.013380421    
  396757:11047   09/08/25 10:24:08   184    184    0.016477025      0.015502568    
  396758:11047   09/08/25 11:43:35   47     47     0.004219149      0.003912913    
  396759:11047   09/08/25 12:08:41   9      9      0.000807042      0.000448082    
  396761:11047   09/08/25 12:33:28   292    292    0.026214354      0.024884489    
  396762:11047   09/08/25 14:35:05   151    151    0.013559779      0.012716474    
  396763:11047   09/08/25 15:37:28   606    606    0.051491285      0.048878366    
  396773:11050   09/08/25 21:58:44   500    500    0.110435203      0.104163779    
  396805:11053   09/09/25 09:20:32   1682   1682   0.809306099      0.764087763    
  396819:11053   09/09/25 20:25:00   507    507    0.171791395      0.164142384    
  396826:11055   09/10/25 05:09:35   60     60     0.016403587      0.015932413    
  396842:11056   09/10/25 07:53:23   57     57     0.023277052      0.018866876    
  396843:11056   09/10/25 08:18:57   323    323    0.163502735      0.145881377    
  396844:11056   09/10/25 10:27:32   456    456    0.232473230      0.208352105    
  396848:11056   09/10/25 18:23:45   17     16     0.007400049      0.004823872    
  396849:11056   09/10/25 18:33:13   58     58     0.024477059      0.022451789    
  396850:11056   09/10/25 18:58:54   308    308    0.115251967      0.110565235    
  396870:11058   09/11/25 01:53:44   999    999    0.504045615      0.476849382    
  396871:11058   09/11/25 08:25:50   740    740    0.343026060      0.323932373    
  396872:11058   09/11/25 13:55:08   161    161    0.057388941      0.054912732    
  396891:11059   09/11/25 17:12:38   640    640    0.310155076      0.287048584    
  396892:11059   09/11/25 21:24:24   1493   1493   0.681885674      0.609534776    
  396893:11059   09/12/25 07:06:27   63     63     0.020994926      0.019639064    
  396952:11066   09/13/25 17:48:27   317    317    0.156146704      0.146332908    
  396960:11067   09/13/25 21:50:13   134    134    0.052838134      0.042456725    
  396963:11067   09/13/25 23:00:49   685    685    0.347568516      0.322284634    
  396964:11067   09/14/25 03:28:50   516    516    0.258796599      0.242121773    
  396965:11067   09/14/25 06:51:48   223    223    0.101488517      0.094524907    
